"","Master.Incident.Number","Response.Date","Response.Type","Location.Name","Responding.Unit","Location.Address"
"1","123116-0733",2016-12-31 23:54:00,"EMS","Atrium at Gville","E7","2431 Nw 41st St
(29.675146, -82.38446)"
"2","123116-0692",2016-12-31 22:42:00,"SVC","St Francis House","E1","413 S Main St
(29.648078, -82.32461)"
"3","123116-0681",2016-12-31 22:26:00,"FIRE","French Courtyard Apartments","TW1","110 Se 8th St
(29.650645, -82.316845)"
"4","123116-0670",2016-12-31 22:11:00,"EMS","Parkland Rehab -HCF","SQ1","1000 Sw 16th Av
(29.637132, -82.33607)"
"5","123116-0645",2016-12-31 21:35:00,"EMS","St Francis House","SQ1","413 S Main St
(29.648078, -82.32461)"
"6","123116-0623",2016-12-31 21:14:00,"FIRE","","E3","Ne 8th Av / Ne 25th St
(29.659209, -82.292387)"
"7","123116-0610",2016-12-31 20:51:00,"EMS","Georgetown Apartments","SQ1","1324 Nw 16th Av
(29.66695, -82.340606)"
"8","123116-0607",2016-12-31 20:48:00,"FIRE","Brookwood Terrace Apartments","E5","2601 Nw 23rd Blvd
(29.67687, -82.347192)"
"9","123116-0595",2016-12-31 20:22:00,"EMS","PALM GARDENS - HCF","SQ2","227 Sw 62nd Blvd
(29.650557, -82.406858)"
"10","123116-0579",2016-12-31 19:56:00,"FIRE","","E2","Sw 16th St / Sw Archer Rd
(29.639202, -82.343321)"
"11","123116-0559",2016-12-31 19:12:00,"EMS","Palms at Brook Valley Apt (D32)","E5","1101 Nw 39th Av
(29.687559, -82.33561)"
"12","123116-0541",2016-12-31 18:49:00,"EMS","Turkey Creek Forest Mobile Home Park","E7","8620 Nw 13th St
(29.734273, -82.38453)"
"13","123116-0502",2016-12-31 17:57:00,"EMS","","HZ2","1015 Se 9th St
(29.641753, -82.31487)"
"14","123116-0498",2016-12-31 17:55:00,"EMS","Grace Marketplace","SQ1","3055 Ne 28th Dr
(29.679606, -82.286588)"
"15","123116-0496",2016-12-31 17:51:00,"EMS","Grace Marketplace","E5","3055 Ne 28th Dr
(29.679606, -82.286588)"
"16","123116-0485",2016-12-31 17:38:00,"EMS","","E3","101 Se 25th Ter
(29.650885, -82.291567)"
"17","123116-0476",2016-12-31 17:27:00,"FIRE","","Q2","Plaza Blvd / Clark Butler Blvd
(29.626898, -82.384671)"
"18","123116-0443",2016-12-31 16:34:00,"EMS","","E1","750 Nw 5th St
(29.658224, -82.329951)"
"19","123116-0441",2016-12-31 16:29:00,"EMS","Atrium at Gville","E7","2431 Nw 41st St
(29.675146, -82.38446)"
"20","123116-0410",2016-12-31 15:28:00,"EMS","Grace Marketplace","E3","3055 Ne 28th Dr
(29.679606, -82.286588)"
"21","123116-0403",2016-12-31 15:13:00,"EMS","","SQ1","511 Nw 6th Av
(29.656488, -82.330055)"
