"YEAR","MONTH","DAY","TEMP","PRECIP","SEASON"
1984,1,1,41,0,"Winter"
1984,1,2,48.5,0,"Winter"
1984,1,3,48,0,"Winter"
1984,1,4,50,0,"Winter"
1984,1,5,53,0,"Winter"
1984,1,6,53,0,"Winter"
1984,1,7,54.5,0,"Winter"
1984,1,8,50,0,"Winter"
1984,1,9,52.5,0,"Winter"
1984,1,10,64,0.17,"Winter"
1984,1,11,50,0.06,"Winter"
1984,1,12,41.5,0.01,"Winter"
1984,1,13,43.5,0.24,"Winter"
1984,1,14,45,0,"Winter"
1984,1,15,50,0,"Winter"
1984,1,16,52,0,"Winter"
1984,1,17,58.5,0.07,"Winter"
1984,1,18,63.5,0.15,"Winter"
1984,1,19,53,0,"Winter"
1984,1,20,43.5,0.07,"Winter"
1984,1,21,41.5,0.13,"Winter"
1984,1,22,46.5,0,"Winter"
1984,1,23,59.5,0,"Winter"
1984,1,24,68,0.19,"Winter"
1984,1,25,67,0.02,"Winter"
1984,1,26,62,0.04,"Winter"
1984,1,27,66.5,0.14,"Winter"
1984,1,28,60,0,"Winter"
1984,1,29,59,0,"Winter"
1984,1,30,55.5,0,"Winter"
1984,1,31,46.5,0,"Winter"
1984,2,1,46.5,0,"Winter"
1984,2,2,52.5,0,"Winter"
1984,2,3,58.5,0,"Winter"
1984,2,4,63,0.1,"Winter"
1984,2,5,52.5,0,"Winter"
1984,2,6,42.5,0,"Winter"
1984,2,7,41,0,"Winter"
1984,2,8,44.5,0,"Winter"
1984,2,9,53,0,"Winter"
1984,2,10,60,0,"Winter"
1984,2,11,63,0,"Winter"
1984,2,12,67,0.04,"Winter"
1984,2,13,65,0.69,"Winter"
1984,2,14,63.5,0,"Winter"
1984,2,15,59,0,"Winter"
1984,2,16,61.5,0,"Winter"
1984,2,17,63,0,"Winter"
1984,2,18,63,0,"Winter"
1984,2,19,67,0,"Winter"
1984,2,20,69,0.02,"Winter"
1984,2,21,59.5,0.7,"Winter"
1984,2,22,59.5,1.9,"Winter"
1984,2,23,60.5,0,"Winter"
1984,2,24,57.5,0,"Winter"
1984,2,25,58,0,"Winter"
1984,2,26,56.5,0,"Winter"
1984,2,27,66,1.34,"Winter"
1984,2,28,50.5,0.03,"Winter"
1984,2,29,43.5,0,"Winter"
1984,3,1,44,0,"Winter"
1984,3,2,48,0,"Winter"
1984,3,3,55.5,0,"Winter"
1984,3,4,60,0,"Winter"
1984,3,5,69,0,"Winter"
1984,3,6,71,1.14,"Winter"
1984,3,7,55,0.1,"Winter"
1984,3,8,52,0,"Winter"
1984,3,9,56.5,0,"Winter"
1984,3,10,53,0,"Winter"
1984,3,11,55,0,"Winter"
1984,3,12,59,0.22,"Winter"
1984,3,13,70,0.01,"Winter"
1984,3,14,68,0,"Winter"
1984,3,15,65,0,"Winter"
1984,3,16,65,0,"Winter"
1984,3,17,70,0,"Winter"
1984,3,18,69.5,0,"Winter"
1984,3,19,69,0,"Winter"
1984,3,20,65.5,0.2,"Winter"
1984,3,21,56,0,"Winter"
1984,3,22,61,0,"Winter"
1984,3,23,64.5,0,"Winter"
1984,3,24,65,0,"Winter"
1984,3,25,72,0,"Winter"
1984,3,26,64,0.05,"Winter"
1984,3,27,63.5,1.39,"Winter"
1984,3,28,72,0.03,"Winter"
1984,3,29,58.5,0,"Winter"
1984,3,30,56.5,0,"Winter"
1984,3,31,58,0,"Winter"
1984,4,1,60.5,0,"Spring"
1984,4,2,59.5,0,"Spring"
1984,4,3,62.5,1.75,"Spring"
1984,4,4,65.5,0.45,"Spring"
1984,4,5,59,0,"Spring"
1984,4,6,58,0,"Spring"
1984,4,7,64.5,0,"Spring"
1984,4,8,65.5,0,"Spring"
1984,4,9,72,0.03,"Spring"
1984,4,10,66.5,0,"Spring"
1984,4,11,58.5,0,"Spring"
1984,4,12,65,0,"Spring"
1984,4,13,74,0,"Spring"
1984,4,14,72,0.09,"Spring"
1984,4,15,65.5,0.09,"Spring"
1984,4,16,60,0,"Spring"
1984,4,17,59,0.07,"Spring"
1984,4,18,62.5,0,"Spring"
1984,4,19,64.5,0,"Spring"
1984,4,20,68.5,0,"Spring"
1984,4,21,72.5,0,"Spring"
1984,4,22,75.5,0.02,"Spring"
1984,4,23,69,0.18,"Spring"
1984,4,24,65.5,0,"Spring"
1984,4,25,68.5,0,"Spring"
1984,4,26,70.5,0,"Spring"
1984,4,27,77,0,"Spring"
1984,4,28,76,0,"Spring"
1984,4,29,77.5,0,"Spring"
1984,4,30,78,0,"Spring"
1984,5,1,79,0,"Spring"
1984,5,2,77,0,"Spring"
1984,5,3,77.5,0,"Spring"
1984,5,4,77.5,0.12,"Spring"
1984,5,5,76,0,"Spring"
1984,5,6,80,0,"Spring"
1984,5,7,81,0,"Spring"
