record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
30172,1,8,2000,2,NL,F,30,137
30174,1,8,2000,2,NL,F,33,181
30175,1,8,2000,2,NL,M,34,265
30307,2,5,2000,2,NL,F,33,185
30308,2,5,2000,2,NL,F,31,144
30443,3,4,2000,2,NL,M,33,184
30741,6,3,2000,2,NL,F,33,158
31516,11,25,2000,2,NL,F,29,200
31517,11,25,2000,2,NL,M,32,228
31633,12,22,2000,2,NL,F,31,173
31717,1,21,2001,2,NL,M,33,121
31721,1,21,2001,2,NL,F,31,158
31862,3,24,2001,2,NL,F,32,252
31946,4,21,2001,2,NL,F,33,145
32045,5,26,2001,2,NL,M,32,135
32167,6,25,2001,2,NL,F,30,173
32391,8,25,2001,2,NL,F,33,193
32817,10,13,2001,2,NL,F,29,72
33040,11,17,2001,2,NL,F,31,119
33041,11,17,2001,2,NL,F,33,213
33237,12,15,2001,2,NL,F,33,126
33238,12,15,2001,2,NL,F,32,198
33415,2,9,2002,2,NL,M,33,120
33583,3,13,2002,2,NL,M,32,136
33586,3,13,2002,2,NL,F,32,196
33847,4,17,2002,2,NL,F,30,149
33966,5,15,2002,2,NL,F,31,188
34198,6,15,2002,2,NL,F,31,139
34783,10,5,2002,2,NL,M,36,226
34991,11,9,2002,2,NL,M,33,238
35212,12,7,2002,2,NL,M,33,248
31215,8,25,2000,2,DM,F,36,43
31386,9,30,2000,2,DM,F,35,45
31515,11,25,2000,2,DM,F,35,43
31632,12,22,2000,2,DM,F,34,44
31718,1,21,2001,2,DM,F,34,44
31792,3,3,2001,2,DM,F,35,45
31858,3,24,2001,2,DM,M,37,53
31859,3,24,2001,2,DM,F,36,60
31860,3,24,2001,2,DM,M,37,47
31861,3,24,2001,2,DM,M,37,48
31945,4,21,2001,2,DM,F,35,47
31948,4,21,2001,2,DM,M,37,52
32380,8,25,2001,2,DM,F,36,49
32386,8,25,2001,2,DM,M,36,46
32601,9,22,2001,2,DM,M,34,24
32604,9,22,2001,2,DM,M,36,47
32605,9,22,2001,2,DM,F,36,43
32607,9,22,2001,2,DM,M,37,50
32827,10,13,2001,2,DM,F,36,47
32828,10,13,2001,2,DM,M,36,46
33027,11,17,2001,2,DM,M,36,48
33035,11,17,2001,2,DM,F,35,47
33232,12,15,2001,2,DM,F,36,45
33234,12,15,2001,2,DM,M,37,48
33329,1,12,2002,2,DM,M,37,47
33336,1,12,2002,2,DM,F,35,45
33410,2,9,2002,2,DM,F,35,46
33579,3,13,2002,2,DM,F,36,43
33580,3,13,2002,2,DM,M,36,55
33581,3,13,2002,2,DM,M,36,50
33842,4,17,2002,2,DM,F,35,51
33844,4,17,2002,2,DM,F,34,30
33958,5,15,2002,2,DM,F,36,41
34192,6,15,2002,2,DM,F,35,50
34428,7,13,2002,2,DM,F,34,46
34672,9,8,2002,2,DM,F,37,45
34985,11,9,2002,2,DM,M,35,55
34987,11,9,2002,2,DM,M,35,45
35210,12,7,2002,2,DM,M,35,48
35397,12,29,2002,2,DM,F,34,34
31520,11,25,2000,2,PE,M,20,23
32815,10,13,2001,2,PE,M,20,31
33032,11,17,2001,2,PE,F,20,21
33036,11,17,2001,2,PE,M,19,22
33228,12,15,2001,2,PE,F,20,20
33231,12,15,2001,2,PE,M,20,22
33331,1,12,2002,2,PE,F,21,23
33411,2,9,2002,2,PE,M,19,25
33953,5,15,2002,2,PE,F,20,16
33963,5,15,2002,2,PE,M,20,21
34194,6,15,2002,2,PE,F,21,25
34426,7,13,2002,2,PE,F,21,22
35201,12,7,2002,2,PE,F,21,28
35209,12,7,2002,2,PE,M,20,21
